crop_name,crop_kg_per_ha,TOTarea_ha,dry_frac,slope,intercept,Cf,frac_ren,Nag_kg,frac_remv,Rbg,Rbg_error_pct,Nbg_kg,frac_burnt
Grains,0,0,0,0,0,0,0,0,0,0,0,0,0
Beans and pulses,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubers,0,0,0,0,0,0,0,0,0,0,0,0,0
"Root crops, others",0,0,0,0,0,0,0,0,0,0,0,0,0
N fixing forages,0,0,0,0,0,0,0,0,0,0,0,0,0
Non N fixing forages,0,0,0,0,0,0,0,0,0,0,0,0,0
Perennial grasses,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass clover mixtures,0,0,0,0,0,0,0,0,0,0,0,0,0
Maize,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheat,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter wheat,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring wheat,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice ,0,0,0,0,0,0,0,0,0,0,0,0,0
Barley,0,0,0,0,0,0,0,0,0,0,0,0,0
Oats,0,0,0,0,0,0,0,0,0,0,0,0,0
Millet,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0
Rye,0,0,0,0,0,0,0,0,0,0,0,0,0
