MM_system,Nt,NEXt_kg,FRAClossms_pct,MSts,Nbeddingms_kg
Swine: Anaerobic lagoon,0,0,78,0,0
Swine: Pit storage,0,0,25,0,0
Swine: Deep bedding,0,0,50,0,0
Swine: Liquid/Slurry,0,0,48,0,0
Swine: Solid storage,0,0,50,0,0
Dairy Cow: Anaerobic lagoon,0,0,77,0,0
Dairy Cow: Liquid/Slurry,0,0,40,0,0
Dairy Cow: Pit storage,0,0,28,0,0
Dairy Cow: Dry lot,0,0,30,0,0
Dairy Cow: Solid storage,0,0,40,0,0
Dairy Cow: Daily spread,0,0,22,0,0
Poultry: Poultry without litter,0,0,55,0,0
Poultry: Anaerobic lagoon,0,0,77,0,0
Poultry: Poultry with litter,0,0,50,0,0
Other Cattle: Dry lot,0,0,40,0,0
Other Cattle: Solid storage,0,0,50,0,0
Other Cattle: Deep bedding,0,0,40,0,0
Other: Deep bedding,0,0,35,0,0
Other: Solid storage,0,0,15,0,0
